"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
694297,"Pfaadt, Brandon",1152,0.9171974522292994,871,"72.094181137",0.26041666666666674,0.33180252583237657,0.2508680555555556,0.13892078071182548,0.10503472222222222,"7.404464601",20,-14.020642912847656,281,0.2439236111111111,462,0.4010416666666667
543339,"Hudson, Daniel",433,0.9232409381663113,300,"72.091961501",0.28175519630484996,0.33666666666666667,0.23325635103926096,0.16666666666666666,0.11547344110854503,"7.398237552",9,-8.181430768482727,133,0.3071593533487298,153,0.3533487297921478
676130,"Buttó, José",482,0.926923076923077,333,"72.084590996",0.26556016597510373,0.3123123123123123,0.2157676348547718,0.14414414414414414,0.0995850622406639,"7.528932282",13,-32.714243430243975,149,0.3091286307053942,163,0.3381742738589212
571760,"Heaney, Andrew",1156,0.9211155378486056,869,"72.075767093",0.2569204152249135,0.3233601841196778,0.2430795847750865,0.14154200230149597,0.10640138408304499,"7.377210796",20,-19.3913090365403,287,0.24826989619377163,416,0.35986159169550175
573186,"Stroman, Marcus",966,0.92,799,"72.071487101",0.24430641821946172,0.344180225281602,0.28467908902691513,0.16270337922403003,0.13457556935817805,"7.366992764",19,-10.611063408313843,167,0.17287784679089027,418,0.432712215320911
542881,"Anderson, Tyler",1200,0.9063444108761329,864,"72.055045208",0.24500000000000002,0.3298611111111111,0.2375,0.1284722222222222,0.0925,"7.518746",12,-35.381381595005735,336,0.28,464,0.38666666666666666
686730,"Spiers, Carson",662,0.9232914923291492,525,"72.053334094",0.2719033232628399,0.34476190476190477,0.27341389728096677,0.1619047619047619,0.1283987915407855,"7.355500196",10,17.943019260793886,137,0.20694864048338368,269,0.40634441087613293
661563,"Gil, Luis",1032,0.9068541300527241,749,"72.051686105",0.2596899224806201,0.30574098798397864,0.22189922480620156,0.11615487316421896,0.08430232558139535,"7.305840727",26,-37.49298149117819,283,0.2742248062015504,340,0.32945736434108525
605452,"Ross, Joe",511,0.9190647482014388,379,"72.050847691",0.2544031311154599,0.35092348284960423,0.2602739726027397,0.1424802110817942,0.10567514677103718,"7.396751546",10,-10.815632160802496,132,0.2583170254403131,200,0.3913894324853229
656756,"Montgomery, Jordan",823,0.9093922651933701,620,"72.048232588",0.25516403402187116,0.3790322580645161,0.28554070473876064,0.17096774193548386,0.12879708383961117,"7.584823597",20,-1.6884596841117565,203,0.24665856622114216,359,0.4362089914945322
665871,"Assad, Javier",886,0.9022403258655805,744,"72.040162607",0.27313769751693,0.3548387096774194,0.2979683972911964,0.14650537634408603,0.12302483069977427,"7.224044684",16,-19.171030692782846,142,0.16027088036117382,385,0.4345372460496614
650911,"Sánchez, Cristopher",1234,0.9154302670623146,928,"72.034423428",0.26012965964343604,0.30926724137931033,0.2325769854132901,0.13793103448275862,0.10372771474878444,"7.471872593",10,-34.80634017692627,306,0.2479740680713128,487,0.3946515397082658
621389,"Blach, Ty",491,0.9109461966604824,418,"72.022622729",0.2668024439918534,0.4090909090909091,0.34826883910386963,0.19856459330143542,0.1690427698574338,"7.322039165",4,17.964043898234895,73,0.14867617107942974,234,0.47657841140529533
687765,"Spence, Mitch",1093,0.9223628691983122,868,"72.015840384",0.2552607502287283,0.3387096774193548,0.2689844464775846,0.1532258064516129,0.12168344007319305,"7.430402571",18,-17.301647214434258,225,0.20585544373284537,431,0.39432753888380606
683155,"Estes, Joey",1015,0.9354838709677419,825,"72.013682631",0.26995073891625604,0.31272727272727274,0.2541871921182266,0.13454545454545455,0.10935960591133005,"7.292932345",13,-10.561758893269397,190,0.18719211822660098,383,0.37733990147783253
607625,"Lugo, Seth",1237,0.9122418879056047,980,"72.011812813",0.25707356507679857,0.3520408163265306,0.2789005658852061,0.15,0.11883589329021826,"7.343132838",20,-39.48826016311355,257,0.20776071139854488,527,0.4260307194826192
571945,"Mikolas, Miles",1127,0.913290113452188,950,"72.011325661",0.2617568766637089,0.32526315789473687,0.2741792369121562,0.15052631578947367,0.12688553682342502,"7.252394454",11,-0.006512491609371729,177,0.15705412599822538,487,0.4321206743566992
519326,"Strickland, Hunter",492,0.9479768786127167,381,"72.009513171",0.2764227642276423,0.3228346456692913,0.25,0.11811023622047244,0.09146341463414634,"7.53432687",3,-18.436126659984573,111,0.22560975609756098,190,0.3861788617886179
596295,"Gomber, Austin",1060,0.9330985915492958,848,"71.992621462",0.24622641509433968,0.3714622641509434,0.2971698113207547,0.16981132075471697,0.13584905660377358,"7.512963821",4,-12.101595567349346,212,0.2,457,0.43113207547169813
