"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Bellinger, Cody",641355,12.433537653177318,12.433537653177318,7.622428054234109,4.64364005644702,0.1674695424961965,,,,,10068,0,1743,0,0,0,1721,4188,2416
"Allen, Nick",669397,12.368988840878574,12.368988840878574,11.332181954312425,0.037948641511125925,0.9988582450550232,,,,,6497,0,0,99,87,6311,0,0,0
"Rutschman, Adley",668939,12.182581070088556,0.0239642560384649,,0.0239642560384649,,12.158616814050092,8.02041495393213,-0.6938986602445728,4.832100520362529,7171,7171,0,0,0,0,0,0,0
"Straw, Myles",664702,11.998634020872382,11.998634020872382,12.492320321592851,-0.49368630072047814,,,,,,5847,0,0,6,0,0,363,5343,135
"Triolo, Jared",669707,11.791745554981855,11.791745554981855,10.571656635987319,-0.20923372141155366,1.4293226404060904,,,,,6916,0,628,1625,3290,1364,0,0,6
"Stott, Bryson",681082,11.5837885552979,11.5837885552979,18.57968451990065,0.7898978479826111,-7.785793812585359,,,,,11060,0,0,10558,0,502,0,0,0
"Ramírez, José",608070,11.450835613491705,11.450835613491705,10.982418474532322,,0.46841713895937853,,,,,10076,0,0,0,10076,0,0,0,0
"Bregman, Alex",608324,11.173007697430254,11.173007697430254,8.334981104373073,0.7795903701422697,2.058436222914911,,,,,10873,0,0,0,10873,0,0,0,0
"Duran, Jarren",680776,10.598568471396211,10.598568471396211,6.297867092390401,4.300701379005806,,,,,,10495,0,0,0,0,0,5799,4684,12
"Heim, Jonah",641680,10.50395097480209,0.1494541413944973,,0.1494541413944973,,10.35449683340759,12.450102960551744,-2.0679360264158495,-0.027670100728301006,8313,8313,0,0,0,0,0,0,0
"Chisholm Jr., Jazz",665862,10.472583491391386,10.472583491391386,11.682918584756642,0.7835477290061834,-1.9938828223714424,,,,,9349,0,0,2619,1915,0,0,4815,0
"Naylor, Bo",666310,10.418091406735506,,,,,10.418091406735506,9.238904930989236,-0.6294732010320058,1.8086596767782819,7051,7051,0,0,0,0,0,0,0
"De La Cruz, Elly",682829,10.36814993403662,10.36814993403662,11.254138867032001,0.3027830879684191,-1.1887720209638035,,,,,10869,0,0,0,777,10092,0,0,0
"Lopez, Nicky",670032,9.90549265862663,9.90549265862663,11.392484428061277,0.8052395670060494,-2.292231336440699,,,,,5047,0,54,2851,791,1292,51,0,0
"Carroll, Corbin",682998,9.848270109749702,9.848270109749702,22.04351323067265,-12.195243120922948,,,,,,11406,0,0,0,0,0,1444,3015,6947
"Cowser, Colton",681297,9.513612734130174,9.513612734130174,7.897525342233934,1.6160873918962404,,,,,,6424,0,0,0,0,0,3659,2373,392
"Kelly, Carson",608348,9.395304168529213,,,,,9.395304168529213,-1.9468829025787155,8.526938925041634,2.8152481460662986,5755,5747,0,0,0,0,0,0,0
"Báez, Javier",595879,8.77612068035946,8.77612068035946,9.586572969750232,-0.1103984085961334,-0.7000538807946405,,,,,8391,0,0,127,442,6607,0,1215,0
"Taveras, Leody",665750,8.772270293979538,8.772270293979538,7.512568455019979,1.259701838959565,,,,,,8692,0,0,0,0,0,0,8050,642
"Sosa, Edmundo",624641,8.623533526279385,8.623533526279385,9.483579379368235,0.0793553670605566,-0.9394012201494104,,,,,5840,0,0,1202,2863,1736,30,9,0
"Olson, Matt",621566,8.451051207468376,8.451051207468376,6.215329507978569,-0.22992399547783168,2.4656456949676446,,,,,12895,0,12895,0,0,0,0,0,0
"Marsh, Brandon",669016,8.422406775401928,8.422406775401928,5.694933195122607,2.7274735802793133,,,,,,9099,0,0,0,0,0,3474,5394,231
"Ibáñez, Andy",628451,8.390321748211669,8.390321748211669,7.8575701015644075,-0.16004794038874917,0.6927995870360117,,,,,4811,0,388,2430,1513,27,291,0,162
"Outman, James",681546,8.306763093080374,8.306763093080374,9.376800515319523,-1.0700374222391564,,,,,,5724,0,0,0,0,0,549,4926,249
"Suárez, Eugenio",553993,8.25219775142603,8.25219775142603,7.19112265485645,,1.06107509656958,,,,,12350,0,18,0,12332,0,0,0,0
"Perdomo, Geraldo",672695,8.124482707532435,8.124482707532435,3.796097237043371,0.4852899365961656,3.8430955338928974,,,,,10045,0,0,492,126,9427,0,0,0
"Kim, Ha-Seong",673490,7.98878970875551,7.98878970875551,7.448989344462651,0.44652185533046845,0.09327850896239312,,,,,8142,0,0,2699,760,4683,0,0,0
"Chourio, Jackson",694192,7.85451572057704,7.85451572057704,7.745549456930798,0.10896626364623198,,,,,,7037,0,0,0,0,0,2924,2264,1849
"Massey, Michael",686681,7.79839837024329,7.79839837024329,4.895446338119315,0.5264775400815901,2.376474492042387,,,,,6328,0,0,6073,0,0,255,0,0
"Alvarez, Francisco",682626,7.652246955812042,,,,,7.652246955812042,16.331476593612564,-2.3437426160051835,-6.335487021795339,6587,6587,0,0,0,0,0,0,0
"Peña, Jeremy",665161,7.342544254686662,7.342544254686662,5.413720979323155,0.3969517604941861,1.5318715148693318,,,,,11332,0,0,0,0,11332,0,0,0
"DeJong, Paul",657557,7.0585791913132905,7.0585791913132905,8.351888571776271,-0.10196836963287739,-1.1913410108301037,,,,,7230,0,27,300,1780,5123,0,0,0
"Bogaerts, Xander",593428,6.946080772704738,6.946080772704738,11.175806910199848,0.4466740632570229,-4.676400200752134,,,,,9770,0,0,2207,0,7563,0,0,0
"Marte, Ketel",606466,6.88326877114369,6.88326877114369,6.432839424831389,-0.200135818889351,0.6505651652016543,,,,,9072,0,0,9054,0,9,0,9,0
"Gelof, Zack",680869,6.734866107654144,6.734866107654144,5.066855475224548,-0.006877698365534771,1.6748883307951254,,,,,6135,0,0,6135,0,0,0,0,0
"Arcia, Orlando",606115,6.659413028895772,6.659413028895772,7.137562931478671,0.07641643372877313,-0.5545663363116758,,,,,9309,0,219,347,450,8293,0,0,0
"Grisham, Trent",663757,6.532285913291622,6.532285913291622,6.410191619994746,0.12209429329687212,,,,,,8683,0,0,0,0,0,0,8683,0
"McLain, Matt",680574,6.448392637894046,6.448392637894046,5.982824135639295,0.8027915744641783,-0.337223072209424,,,,,5915,0,0,4406,0,1509,0,0,0
"Buxton, Byron",621439,6.335483559062475,6.335483559062475,5.533550054522108,0.8019335045403664,,,,,,5220,0,0,0,0,0,0,5220,0
"Schuemann, Max",680474,6.240463660346485,6.240463660346485,5.081846840220333,0.8364885019339936,0.32212831819216103,,,,,4716,0,0,756,942,2751,204,54,9
"McCormick, Chas",676801,6.21472436785328,6.21472436785328,9.635015704836336,-3.4202913369830523,,,,,,5651,0,0,0,0,0,2335,2122,1185
"Rizzo, Anthony",519203,6.198953130368528,6.198953130368528,5.5753121959911685,0.21843653495079343,0.4052043994265664,,,,,4834,0,4834,0,0,0,0,0,0
"McKinstry, Zach",656716,6.060226998192294,6.060226998192294,5.491435855856743,0.6086033769412211,-0.039812234605668545,,,,,8751,0,6,1221,3144,2112,791,42,1425
"Arias, Gabriel",672356,6.002734789053568,6.002734789053568,4.625637446055144,0.6635481888886345,0.7135491541097909,,,,,6695,0,512,646,875,4143,36,57,426
"Caratini, Victor",605170,5.712917042365662,-0.09159441061800475,-0.13580300995308822,,0.044208599335083615,5.804511452983666,8.17224801714545,-3.837622727914958,1.469886163753175,4741,4195,546,0,0,0,0,0,0
"Machado, Manny",592518,5.704515267719914,5.704515267719914,3.659295258126599,0.14984915814330255,1.895370851450021,,,,,9136,0,0,0,9136,0,0,0,0
"Heyward, Jason",518792,5.6860604624300715,5.6860604624300715,8.19474564820541,-2.508685185775344,,,,,,4727,0,33,0,0,0,812,411,3471
"Rojas, Josh",668942,5.395927144343892,5.395927144343892,6.216825936615626,-0.10650664806216649,-0.714392144209569,,,,,6838,0,3,1756,4899,0,168,0,0
"Turang, Brice",668930,5.357962046039414,5.357962046039414,2.032129156162427,0.42537809762710893,2.900454792249878,,,,,10949,0,0,10546,0,403,0,0,0
"Seager, Corey",608369,5.228145290217259,5.228145290217259,5.073695777408007,0.0189861363931808,0.13546337641607226,,,,,8217,0,0,0,0,8217,0,0,0
"Kepler, Max",596146,5.166705596757242,5.166705596757242,6.678703408089858,-1.5119978113326187,,,,,,8361,0,0,0,0,0,2320,18,6023
"LeMahieu, DJ",518934,5.1339085394997115,5.1339085394997115,3.6930434914725723,,1.4408650480271346,,,,,5873,0,2020,1188,2665,0,0,0,0
"Call, Alex",669743,4.8890970542700565,4.8890970542700565,8.91249889332498,-4.0234018390549275,,,,,,5652,0,0,0,0,0,1548,2180,1924
"Vargas, Ildemaro",545121,4.8251623741179825,4.8251623741179825,4.354206894601675,-0.6944859694082406,1.165441448924549,,,,,4542,0,246,1371,1994,518,399,0,2
"Kiner-Falefa, Isiah",643396,4.498686521791959,4.498686521791959,3.9665293958716834,1.8968444093703873,-1.3646872834501167,,,,,8950,0,0,1210,2553,3465,744,838,120
"Harper, Bryce",547180,4.436294582141098,4.436294582141098,6.2793189122234665,-0.056507609576065376,-1.7865167205063017,,,,,8007,0,8007,0,0,0,0,0,0
