"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Horwitz, Spencer",687462,1.1394336956590085,1.1394336956590085,0.5878206594621129,,0.5516130361968957,,,,,2504,0,2486,18,0,0,0,0,0
"House, Brady",691781,1.1335773570356882,1.1335773570356882,1.603597175318879,0.02995319929324589,-0.4999730175764363,,,,,1846,0,0,0,1846,0,0,0,0
"Hoskins, Rhys",656555,0.9459308555961045,0.9459308555961045,0.7042837077905523,,0.2416471478055526,,,,,2012,0,2012,0,0,0,0,0,0
"Vaughn, Andrew",683734,0.7179049546700398,0.7179049546700398,0.9499026608335392,,-0.23199770616349907,,,,,2304,0,2304,0,0,0,0,0,0
"Walls, Taylor",670764,0.7117000852636808,0.7117000852636808,0.6299299760870621,0.19419916348826055,-0.11242905431164106,,,,,2252,0,0,87,3,2162,0,0,0
"Crews, Dylan",686611,0.7099885395568226,0.7099885395568226,2.493102878189727,-1.783114338632905,,,,,,2139,0,0,0,0,0,0,336,1803
"Durbin, Caleb",702332,0.5623355784014186,0.5623355784014186,1.1291051408237425,,-0.5667695624223237,,,,,3324,0,0,130,3182,12,0,0,0
"Myers, Dane",667472,0.5483080681091339,0.5483080681091339,1.3884559100972025,-0.84014784198807,,,,,,2258,0,0,0,0,0,180,1553,525
"Collins, Isaac",686555,0.45984927044663526,0.45984927044663526,2.822903303264368,-2.3630540328177334,,,,,,2640,0,0,6,4,0,2458,0,172
"Tawa, Tim",694374,0.445173869144233,0.445173869144233,0.8138648536241326,-0.5104886770080331,0.14179769252813224,,,,,1477,0,367,558,45,0,183,314,10
"Smith, Cam",701358,0.43613029693814753,0.43613029693814753,0.8238347825652899,-0.38770448562714405,,,,,,3238,0,0,0,0,0,0,0,3238
"Hays, Austin",669720,0.3962696914305705,0.3962696914305705,0.8563902369664436,-0.4601205455358739,,,,,,1522,0,0,0,0,0,1522,0,0
"Sánchez, Jesús",660821,0.3689054885613442,0.3689054885613442,-0.6742616495525986,1.0431671381139433,,,,,,2933,0,0,0,0,0,573,189,2171
"Canario, Alexander",672744,0.3039811704954516,0.3039811704954516,-1.9549299953115615,2.258911165807015,,,,,,1563,0,0,0,0,0,600,551,412
"Thomas, Alek",677950,0.21279726601698448,0.21279726601698448,0.1354805433826043,0.07731672263437994,,,,,,3241,0,0,0,0,0,0,3241,0
"Mead, Curtis",678554,0.2049915515307233,0.2049915515307233,-0.14753244835738163,,0.35252399988810496,,,,,1632,0,619,326,687,0,0,0,0
"Friedl, TJ",670770,0.19409841732559238,0.19409841732559238,1.215317008515318,-1.0212185911897271,,,,,,3885,0,0,0,0,0,0,3885,0
"Happ, Ian",664023,0.09857361789497432,0.09857361789497432,-0.3970731540986537,0.49564677199362744,,,,,,3823,0,0,0,0,0,3823,0,0
"Williamson, Ben",810938,0.06620120929119344,0.06620120929119344,0.2301647499558498,-0.0013040371478136553,-0.1626595035168429,,,,,2109,0,0,0,2109,0,0,0,0
"Espinal, Santiago",669289,0.016117059656749005,0.016117059656749005,1.1392835449950889,-0.31035846387132765,-0.8128080214670118,,,,,2152,0,48,381,1462,18,126,0,117
