"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"Bido, Osvaldo","674370","2440","2331","2191","2228","2184",,,,,
"Matthews, Zebby","805673","2331","2317","2494","2419","1499","2435",,,,
"Spence, Mitch","687765",,"2381","2682","2760","1575","2803",,,,
"Leahy, Kyle","681517","2374","2235",,"2381","1498","2421",,,"2698",
"Canning, Griffin","656288","2149",,"2434","2742","1486","2508",,,,
"Rutledge, Jackson","671131","2385","2265","2171","2051",,,"1370",,,
"Evans, Logan","688138","2088","2002","2553",,"2046","3055",,,"2841",
"Bellozo, Valente","678368","2147",,"2518",,"2036","2804","1458",,"2731",
"Bergert, Ryan","686701","2406","2327",,"2626","1501","2699",,,"2816",
"Bivens, Spencer","702352","2008","1883","2127",,"1602",,,,"2243","2234"
"Herget, Jimmy","623474","2423","2424",,"2689","1635","3017",,,,
"Barlow, Scott","605130","2441","2310",,"2648","2242","2623",,,"2517",
"Casparius, Ben","676508","2435","2398","2755",,,"3018",,,"3080",
"López, Pablo","641154","2167","2043",,,"1796","2603",,,"2411",
"Schlittler, Cam","693645","2435","2265","2516",,,"2606",,,"2444",
"Alexander, Jason","669920","2270","2054","2208","2533","1764",,,,"2626",
"Gordon, Tanner","685299","2250",,,"2100","2106","2170",,,,
"Little, Brendon","663893","2033","2028","2201",,,"1797",,,,
"Estrada, Jeremiah","669093","2196",,,"2204",,,"1426",,,
"Megill, Tylor","656731","2295","2197",,"2549","1496","2502",,,,
"Santillan, Tony","663574","2347",,,"2215","2389",,,,,"2190"
"Schmidt, Clarke","657376","2615","2603","2745","3037",,"3112",,,"3144",
"Kinley, Tyler","641755","2385",,,"2556","1644","2743",,,,
"Bazardo, Eduard","660825","2149","2230","2405","2565",,,"1782",,,
"King, Michael","650633","2368","2288",,"2496","2014",,,,"2778",
"Eisert, Brandon","685126","2047","1951",,"2126","1329",,,,,
"Uceta, Edwin","670955","2410","2336","2554",,"2151",,,,"2501",
"Ferrer, Jose A.","678606","2138","2120",,"2403","2184",,,,,
"Hicks, Jordan","663855","2098","1926",,"2294",,,"919",,"2309",
"Birdsong, Hayden","806185","2404",,,"2385","1318","2823",,,,"2650"
"Abreu, Bryan","650556","2314","2171",,"2923","1729",,,,,
"Smith, Cade","671922","2321",,,,,,"711",,"1988",
"Whitlock, Garrett","676477",,"2191",,"2118","2282",,,,"2213",
"Misiorowski, Jacob","694819","2589",,,"2473","2119","2451",,,,
"Uribe, Abner","682842","2405","2310",,"2515",,,,,,
"Holton, Tyler","663947","2257","2163","2352",,"1642","2806",,,"2740",
"Matz, Steven","571927",,"2246",,"2212","2423","2290",,,,
"Olson, Reese","681857","2323","2176",,"2842","1960","2458",,,"2950",
"Anderson, Grant","681982","2446","2278",,,"1702",,,,"2698",
"Rodríguez, Yariel","684320","2443","2395",,"2765",,,"1602",,,
"Henriquez, Ronny","678692","2497","2413",,"2525","1604",,,,"2582",
