"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Morejon, Adrian","670970","23.2","36.2","","29.8","","0.8","","7.8","2.2",""
"Williams, Trevor","592866","36.0","12.5","","13.5","16.8","","","","21.1",""
"Pearson, Nate","663878","45.9","1.8","","40.7","","11.5","0.1","","",""
"Cleavinger, Garrett","664076","24.9","9.4","24.6","24.1","","","","","17.0",""
"Bido, Osvaldo","674370","40.0","9.3","14.4","21.1","15.2","","","","",""
"Miller, Bobby","676272","36.8","14.7","","9.6","19.9","19.0","","","",""
"Alvarado, José","621237","0.2","59.2","40.3","","","0.3","","","",""
"Matsui, Yuki","673513","41.0","0.1","","27.1","","1.0","24.5","","6.4",""
"Molina, Anthony","683627","48.3","","1.0","21.2","22.4","7.1","","","",""
"Chavez, Jesse","445926","","26.9","51.1","1.6","13.4","7.0","","","",""
