"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Urías, Luis","649966","NA","4","Second Baseman","338","0","332","6","0","0","0","0","338","0","84.7",,"77.8",,,,,,"78",,"78"
"Torres, Gleyber","650402","NA","4","Second Baseman","616","0","616","0","0","0","0","0","616","0","87.1",,"76.2",,,,,,"76.2",,"76.2"
"Castro, Willi","650489","NA","4","Second Baseman","336","0","120","31","10","81","13","81","161","175","93.4",,"83.3",,,"89.4",,"90","88","89.9","89.9"
"Rengifo, Luis","650859","NA","4","Second Baseman","482","0","308","166","1","2","2","3","475","7","89",,"76.2","86",,,,,"84.7",,"84.7"
"Gray, Tristan","656484","NA","4","Second Baseman","103","4","57","9","33","0","0","0","99","0","86.9",,,,,,,,"82",,"82"
"Rivas, Leo","660844","NA","4","Second Baseman","116","0","95","2","16","0","0","3","113","3","83.6",,"77",,,,,,"77.4",,"77.4"
"Hoerner, Nico","663538","NA","4","Second Baseman","824","0","804","0","20","0","0","0","824","0","85",,"75.1",,,,,,"75.5",,"75.5"
"India, Jonathan","663697","NA","4","Second Baseman","378","0","288","48","0","42","0","0","336","42","87.1",,"80.1",,,,,,"81",,"81"
"Rodgers, Brendan","663898","NA","4","Second Baseman","102","0","102","0","0","0","0","0","102","0","84.6",,"79.1",,,,,,"79.1",,"79.1"
"Lowe, Brandon","664040","NA","4","Second Baseman","552","9","543","0","0","0","0","0","543","0","83.4",,"77.9",,,,,,"77.9",,"77.9"
"Moore, Dylan","664238","NA","4","Second Baseman","270","19","135","33","31","0","1","51","199","52","86.4",,"75.9",,,,,"82.2","76.6","82.2","82.2"
"Chisholm Jr., Jazz","665862","NA","4","Second Baseman","553","0","478","75","0","0","0","0","553","0","87.7",,"78.5","85.6",,,,,"82",,"82"
"Giménez, Andrés","665926","NA","4","Second Baseman","407","0","328","0","79","0","0","0","407","0","89.5",,"83.3",,"83.5",,,,"83.8",,"83.8"
"Fitzgerald, Tyler","666149","NA","4","Second Baseman","365","0","361","0","0","0","0","4","361","4","80.6",,"76.9",,,,,,"76.9",,"76.9"
"Hamilton, David","666152","NA","4","Second Baseman","290","0","250","0","40","0","0","0","290","0","90.5",,"79.7",,,,,,"82.6",,"82.6"
"Julien, Edouard","666397","NA","4","Second Baseman","142","54","87","0","1","0","0","0","88","0","79",,"77.7",,,,,,"77.7",,"77.7"
"Turang, Brice","668930","NA","4","Second Baseman","653","0","651","0","2","0","0","0","653","0","89.8",,"80.1",,,,,,"80.1",,"80.1"
"Edman, Tommy","669242","NA","4","Second Baseman","402","0","312","31","0","0","59","0","343","59","95.6",,"74.9",,,,"83",,"79.2","83","83"
"Edwards, Xavier","669364","NA","4","Second Baseman","540","0","376","0","164","0","0","0","540","0","81.8",,"74.3",,"76.2",,,,"75.5",,"75.5"
"Schmitt, Casey","669477","NA","4","Second Baseman","350","43","246","58","3","0","0","0","307","0","90.9",,"80.4",,,,,,"86.5",,"86.5"
"García Jr., Luis","671277","NA","4","Second Baseman","489","7","482","0","0","0","0","0","482","0","87.3",,"78.7",,,,,,"78.7",,"78.7"
"Sosa, Lenyn","672820","NA","4","Second Baseman","606","127","478","1","0","0","0","0","479","0","84.4","70.8","79.9",,,,,,"79.9",,"79.9"
"Schuemann, Max","680474","NA","4","Second Baseman","269","0","121","40","88","16","3","1","249","20","86.1",,"76.2",,"81.3",,,,"81.7",,"81.7"
"McLain, Matt","680574","NA","4","Second Baseman","640","0","619","0","21","0","0","0","640","0","87",,"82.7",,,,,,"83.2",,"83.2"
"Gelof, Zack","680869","NA","4","Second Baseman","118","0","118","0","0","0","0","0","118","0","83.6",,"75.8",,,,,,"75.8",,"75.8"
"Donovan, Brendan","680977","NA","4","Second Baseman","544","0","459","0","27","58","0","0","486","58","90",,"77.3",,,"86.7",,,"78.3","86.7","86.7"
"Stott, Bryson","681082","NA","4","Second Baseman","546","0","491","0","55","0","0","0","546","0","89.7",,"80.2",,,,,,"81",,"81"
"Schneemann, Daniel","682177","NA","4","Second Baseman","406","0","289","30","25","9","36","17","344","62","97.5",,"80.5",,,,,,"83.2","92.7","92.7"
"Acuña, Luisangel","682668","NA","4","Second Baseman","259","0","232","5","21","0","1","0","258","1","84.2",,"80.3",,,,,,"80.8",,"80.8"
"Freeman, Cody","683227","NA","4","Second Baseman","92","0","73","7","0","5","0","7","80","12","83.1",,,,,,,,"79.1",,"79.1"
"Koss, Christian","683766","NA","4","Second Baseman","243","0","202","20","21","0","0","0","243","0","89.2",,"78.7",,,,,,"82",,"82"
"Massey, Michael","686681","NA","4","Second Baseman","311","0","285","0","0","26","0","0","285","26","84.5",,"78",,,,,,"78",,"78"
"Wisely, Brett","689172","NA","4","Second Baseman","102","0","95","5","2","0","0","0","102","0","86.9",,"79.5",,,,,,"81.5",,"81.5"
"Amador, Adael","691182","NA","4","Second Baseman","176","0","176","0","0","0","0","0","176","0","78.5",,"70.9",,,,,,"70.9",,"70.9"
"Campbell, Kristian","692225","NA","4","Second Baseman","288","0","267","0","0","4","17","0","267","21","88.8",,"78",,,,,,"78",,"78"
"Gonzales, Nick","693304","NA","4","Second Baseman","443","0","395","0","48","0","0","0","443","0","86.4",,"79.8",,,,,,"81.1",,"81.1"
"Tawa, Tim","694374","NA","4","Second Baseman","246","69","114","4","0","10","47","2","118","59","83.4",,"73.7",,,,,,"73.7","80.3","80.3"
"Saggese, Thomas","695336","NA","4","Second Baseman","328","0","171","30","127","0","0","0","328","0","88.8",,"76.6",,"83",,,,"81.9",,"81.9"
"Moore, Christian","695681","NA","4","Second Baseman","214","0","214","0","0","0","0","0","214","0","85.6",,"78.1",,,,,,"78.1",,"78.1"
"Young, Cole","702284","NA","4","Second Baseman","302","0","300","0","2","0","0","0","302","0","84.8",,"73.5",,,,,,"73.3",,"73.3"
"Holliday, Jackson","702616","NA","4","Second Baseman","634","0","602","0","32","0","0","0","634","0","88.4",,"80.6",,,,,,"80.8",,"80.8"
