"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Cronenworth, Jake",630105,1.1782679161236516,1.1782679161236516,-0.8324461946256332,-0.13744644342612242,2.1481605541754076,,,,,3316,0,2532,784,0,0,0,0,0
"O'Hearn, Ryan",656811,1.1711199872235682,1.1711199872235682,2.611448999509961,-0.8774114323060577,-0.5629175799803373,,,,,2005,0,1557,0,0,0,70,0,378
"Smith, Dominic",642086,1.1513433131723216,1.1513433131723216,0.8478636165256385,0.06208252368575899,0.24139717296092394,,,,,3733,0,3733,0,0,0,0,0,0
"Altuve, Jose",514888,0.9461752695966427,0.9461752695966427,-0.7353310086347558,0.00006965041311845936,1.6814366278182795,,,,,2207,0,0,2207,0,0,0,0,0
"Candelario, Jeimer",600869,0.9040487676291186,0.9040487676291186,0.6685510924714037,,0.2354976751577148,,,,,3418,0,437,0,2981,0,0,0,0
"Allen, Nick",669397,0.8835243519596921,0.8835243519596921,0.43846218106930623,-0.2398927142550606,0.684954885145446,,,,,2477,0,0,18,0,2459,0,0,0
"Nimmo, Brandon",607043,0.8078145386781659,0.8078145386781659,0.4876991331652636,0.3201154055129014,,,,,,3764,0,0,0,0,0,264,3500,0
"Turang, Brice",668930,0.7997582764313609,0.7997582764313609,0.18264553241446202,-0.14148428547689398,0.7585970294937951,,,,,3129,0,0,2751,0,378,0,0,0
"Margot, Manuel",622534,0.7537468576034734,0.7537468576034734,2.905305573133868,-2.1515587155303963,,,,,,2204,0,0,0,0,0,0,1306,898
"Sosa, Edmundo",624641,0.7302525516415872,0.7302525516415872,1.6402560197231555,,-0.9100034680815657,,,,,2130,0,0,81,1749,294,0,6,0
"Cron, C.J.",543068,0.7289747545838426,0.7289747545838426,1.187255405333609,-0.007481732150612708,-0.45079891859915355,,,,,1506,0,1506,0,0,0,0,0,0
"Volpe, Anthony",683011,0.6635750718895111,0.6635750718895111,0.8058557882748238,0.6176502556215728,-0.7599309720068832,,,,,4040,0,0,0,0,4040,0,0,0
"McLain, Matt",680574,0.6575241343539371,0.6575241343539371,1.5334421277044352,,-0.8759179933504995,,,,,2283,0,0,888,0,1395,0,0,0
"Rosario, Eddie",592696,0.5838825994761158,0.5838825994761158,2.4970195931122525,-1.9131369936361367,,,,,,3171,0,0,0,0,0,3171,0,0
"Grandal, Yasmani",518735,0.5524413464310278,-0.26430018505675396,-0.26430018505675396,,,0.8167415314877817,6.262896788985471,-5.83230804999852,0.3861527925008347,2141,2043,98,0,0,0,0,0,0
"Schmitt, Casey",669477,0.5137076462445989,0.5137076462445989,-1.846425640589142,0.25743329180234537,2.1026999950313963,,,,,1983,0,0,405,708,870,0,0,0
"Bregman, Alex",608324,0.4980947331475245,0.4980947331475245,0.12981498422066912,0.06154798560390637,0.30673176332294816,,,,,4252,0,0,0,4252,0,0,0,0
"Jankowski, Travis",608671,0.4825440441109042,0.4825440441109042,3.1503075535382625,-2.6677635094273566,,,,,,1866,0,0,0,0,0,1421,270,175
"Anderson, Brian",605119,0.42954685704334067,0.42954685704334067,-0.02724686231930885,-0.23219024712181663,0.6889839664844648,,,,,2291,0,0,0,1429,0,0,0,862
"O'Neill, Tyler",641933,0.3369243782847942,0.3369243782847942,0.3535637376643483,-0.016639359379553624,,,,,,1604,0,0,0,0,0,1325,279,0
