"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","sprint_speed","oaa","bat_speed","squared_up_rate","swing_length"
"Mountcastle, Ryan","663624","2024",70,87,73,62,46,60,58,76,89,74,42,13,45,4,1,57,80,90,15,29
"Peña, Jeremy","665161","2024",42,78,43,26,37,48,24,29,54,42,76,4,46,8,25,98,28,63,55,18
"Harris, Brett","695391","2024",,,,,,,,,27,,,,,,29,46,,,,
"DeJong, Paul","657557","2024",17,9,44,63,4,56,69,23,77,59,3,8,3,14,27,33,84,54,2,86
"Arozarena, Randy","668227","2024",52,8,29,49,74,60,54,70,82,68,23,88,20,77,32,71,10,64,42,39
"Fletcher, David","664058","2024",,,,,,,,,1,,,,,,,37,,,,
"Serven, Brian","661531","2024",,,,,,,,,16,,,,,,,19,,,,
"Walls, Taylor","670764","2024",,,,,,,,,12,,,,,,37,62,21,,,
"Ward, Taylor","621493","2024",80,51,79,82,69,93,88,77,53,63,32,68,44,94,72,33,86,20,86,72
"Foscue, Justin","679822","2024",,,,,,,,,29,,,,,,,32,,,,
"Gordon, Nick","624503","2024",,,,,,,,,34,,,,,,54,58,39,,,
"Tena, José","677588","2024",,,,,,,,,53,,,,,,74,71,,,,
"Soler, Jorge","624585","2024",84,43,78,83,84,83,86,73,96,70,32,92,26,61,52,36,,94,18,5
"Delay, Jason","641511","2024",,,,,,,,,13,,,,,,,14,,,,
"Candelario, Jeimer","600869","2024",11,12,26,40,7,47,53,13,38,20,32,17,24,13,24,50,2,11,49,8
"DeLoach, Zach","676113","2024",,,,,,,,,12,,,,,,,62,,,,
"Lipscomb, Trey","702358","2024",,,,,,,,,38,,,,,,86,52,27,,,
"Fermín, José","665877","2024",,,,,,,,,19,,,,,,,89,,,,
"Yorke, Nick","694377","2024",,,,,,,,,46,,,,,,,90,,,,
"Black, Tyler","672012","2024",,,,,,,,,8,,,,,,,32,,,,
"Ruiz, Esteury","665923","2024",,,,,,,,,58,,,,,,,95,,,,
"Arcia, Orlando","606115","2024",2,5,6,19,2,39,23,29,33,39,50,31,38,56,60,13,86,32,60,5
"Calhoun, Willie","641432","2024",,,,,,,,,55,,,,,,,2,,,,
"Campusano, Luis","669134","2024",,,,,,,,,70,,,,,,,6,,,,
